balls,averageMaxLoad
0, 0
1, 0.96
2, 0.93
3, 0.93
4, 0.92
5, 1.03
6, 1.04
7, 1.06
8, 1.09
9, 1.23
10, 1.18
11, 1.28
12, 1.44
13, 1.41
14, 1.46
15, 1.54
16, 1.67
17, 1.51
18, 1.6
19, 1.65
20, 1.54
21, 1.53
22, 1.61
23, 1.62
24, 1.61
25, 1.69
26, 1.61
27, 1.7
28, 1.67
29, 1.74
30, 1.75
31, 1.93
32, 1.9
33, 1.87
34, 1.94
35, 1.86
36, 1.9
37, 1.76
38, 1.97
39, 1.9
40, 1.92
41, 1.97
42, 1.96
43, 1.77
44, 2.03
45, 2
46, 1.98
47, 2.05
48, 2
49, 1.95
50, 1.99
51, 2.1
52, 1.95
53, 2.13
54, 2.04
55, 2.12
56, 2.08
57, 2.19
58, 2.22
59, 2.18
60, 2.11
61, 2.06
62, 2.15
63, 2.2
64, 2.06
65, 1.99
66, 2.12
67, 2.05
68, 2.13
69, 2.02
70, 2.13
71, 2.16
72, 2.19
73, 2.23
74, 2.13
75, 2.35
76, 2.32
77, 2.32
78, 2.15
79, 2.44
80, 2.28
81, 2.17
82, 2.27
83, 2.21
84, 2.29
85, 2.16
86, 2.28
87, 2.24
88, 2.44
89, 2.3
90, 2.29
91, 2.23
92, 2.18
93, 2.34
94, 2.47
95, 2.24
96, 2.27
97, 2.48
98, 2.3
99, 2.39
100, 2.33
101, 2.33
102, 2.26
103, 2.24
104, 2.3
105, 2.33
106, 2.25
107, 2.38
108, 2.38
109, 2.43
110, 2.52
111, 2.32
112, 2.44
113, 2.36
114, 2.44
115, 2.59
116, 2.34
117, 2.35
118, 2.37
119, 2.36
120, 2.61
121, 2.5
122, 2.25
123, 2.43
124, 2.44
125, 2.33
126, 2.28
127, 2.47
128, 2.39
129, 2.49
130, 2.35
131, 2.4
132, 2.36
133, 2.49
134, 2.47
135, 2.47
136, 2.37
137, 2.33
138, 2.44
139, 2.56
140, 2.47
141, 2.41
142, 2.5
143, 2.47
144, 2.45
145, 2.42
146, 2.39
147, 2.39
148, 2.48
149, 2.49
150, 2.48
151, 2.42
152, 2.4
153, 2.43
154, 2.46
155, 2.39
156, 2.38
157, 2.45
158, 2.55
159, 2.53
160, 2.52
161, 2.44
162, 2.52
163, 2.49
164, 2.65
165, 2.6
166, 2.55
167, 2.44
168, 2.43
169, 2.51
170, 2.53
171, 2.57
172, 2.41
173, 2.41
174, 2.52
175, 2.48
176, 2.45
177, 2.46
178, 2.58
179, 2.47
180, 2.49
181, 2.61
182, 2.35
183, 2.46
184, 2.51
185, 2.52
186, 2.49
187, 2.64
188, 2.59
189, 2.44
190, 2.51
191, 2.71
192, 2.42
193, 2.42
194, 2.63
195, 2.54
196, 2.66
197, 2.63
198, 2.48
199, 2.56
200, 2.71
201, 2.67
202, 2.47
203, 2.51
204, 2.53
205, 2.58
206, 2.8
207, 2.61
208, 2.51
209, 2.6
210, 2.41
211, 2.68
212, 2.53
213, 2.47
214, 2.66
215, 2.5
216, 2.65
217, 2.61
218, 2.56
219, 2.65
220, 2.6
221, 2.67
222, 2.46
223, 2.54
224, 2.64
225, 2.68
226, 2.48
227, 2.6
228, 2.73
229, 2.64
230, 2.66
231, 2.52
232, 2.57
233, 2.61
234, 2.56
235, 2.81
236, 2.68
237, 2.67
238, 2.3
239, 2.63
240, 2.59
241, 2.75
242, 2.62
243, 2.52
244, 2.54
245, 2.77
246, 2.63
247, 2.73
248, 2.72
249, 2.61
250, 2.59
251, 2.64
252, 2.61
253, 2.47
254, 2.57
255, 2.48
256, 2.55
257, 2.65
258, 2.6
259, 2.61
260, 2.61
261, 2.62
262, 2.56
263, 2.71
264, 2.57
265, 2.78
266, 2.78
267, 2.74
268, 2.61
269, 2.54
