balls,averageMaxLoad
0, 0
1, 0.96
2, 0.97
3, 0.98
4, 1.09
5, 1.2
6, 1.27
7, 1.38
8, 1.5
9, 1.38
10, 1.56
11, 1.52
12, 1.59
13, 1.65
14, 1.68
15, 1.67
16, 1.77
17, 1.68
18, 1.7
19, 1.75
20, 1.78
21, 1.89
22, 1.86
23, 2.04
24, 2.03
25, 2.08
26, 1.94
27, 2.02
28, 2.13
29, 2.22
30, 2.24
31, 2.17
32, 2.13
33, 2.09
34, 2.17
35, 2.32
36, 2.1
37, 2.22
38, 2.2
39, 2.27
40, 2.3
41, 2.33
42, 2.28
43, 2.32
44, 2.24
45, 2.29
46, 2.29
47, 2.41
48, 2.42
49, 2.34
50, 2.4
51, 2.43
52, 2.44
53, 2.51
54, 2.48
55, 2.45
56, 2.49
57, 2.42
58, 2.58
59, 2.52
60, 2.5
61, 2.72
62, 2.54
63, 2.6
64, 2.61
65, 2.55
66, 2.54
67, 2.71
68, 2.64
69, 2.58
70, 2.64
71, 2.83
72, 2.61
73, 2.59
74, 2.76
75, 2.97
76, 2.75
77, 2.82
78, 2.6
79, 2.78
80, 2.77
81, 2.74
82, 2.76
83, 2.99
84, 2.72
85, 2.8
86, 2.87
87, 2.82
88, 2.69
89, 2.84
90, 2.84
91, 2.78
92, 2.85
93, 2.77
94, 2.8
95, 2.74
96, 2.75
97, 2.85
98, 2.83
99, 3.01
100, 2.89
101, 3.01
102, 2.81
103, 2.75
104, 2.78
105, 2.95
106, 2.93
107, 3
108, 2.91
109, 2.94
110, 2.89
111, 2.94
112, 2.96
113, 3.13
114, 3.12
115, 2.93
116, 2.85
117, 2.89
118, 3.16
119, 3.35
120, 2.95
121, 2.99
122, 3
123, 3.02
124, 3.02
125, 3.15
126, 3.07
127, 3.2
128, 3.2
129, 3.1
130, 3.19
131, 3.11
132, 3.11
133, 3.3
134, 3.12
135, 3.04
136, 3.19
137, 2.98
138, 3.14
139, 3.2
140, 3.2
141, 2.96
142, 3.42
143, 3.15
144, 3.01
145, 3.21
146, 3.11
147, 3.31
148, 3.11
149, 3.16
150, 3.26
151, 3.24
152, 2.98
153, 3.08
154, 3.05
155, 3.27
156, 3
157, 3.06
158, 3.3
159, 3.32
160, 3.08
161, 3.07
162, 3.09
163, 3.46
164, 3.11
165, 3.35
166, 3.48
167, 3.29
168, 3.41
169, 3.38
170, 3.29
171, 3.14
172, 3.12
173, 3.27
174, 3.27
175, 3.17
176, 3.25
177, 3.2
178, 3.25
179, 3.36
180, 3.28
181, 3.44
182, 3.37
183, 3.07
184, 3.2
185, 3.22
186, 3.31
187, 3.37
188, 3.39
189, 3.39
190, 3.29
191, 3.28
192, 3.31
193, 3.46
194, 3.29
195, 3.54
196, 3.26
197, 3.43
198, 3.26
199, 3.36
200, 3.42
201, 3.33
202, 3.48
203, 3.34
204, 3.24
205, 3.35
206, 3.42
207, 3.55
208, 3.31
209, 3.58
210, 3.37
211, 3.17
212, 3.23
213, 3.44
214, 3.38
215, 3.25
216, 3.48
217, 3.5
218, 3.53
219, 3.19
220, 3.45
221, 3.49
222, 3.53
223, 3.39
224, 3.35
225, 3.39
226, 3.53
227, 3.48
228, 3.62
229, 3.34
230, 3.4
231, 3.39
232, 3.26
233, 3.49
234, 3.35
235, 3.62
236, 3.49
237, 3.37
238, 3.18
239, 3.49
240, 3.53
241, 3.39
242, 3.59
243, 3.5
244, 3.39
245, 3.6
246, 3.48
247, 3.14
248, 3.51
249, 3.41
250, 3.42
251, 3.38
252, 3.54
253, 3.67
254, 3.29
255, 3.55
256, 3.5
257, 3.38
258, 3.16
259, 3.41
260, 3.3
261, 3.39
262, 3.4
263, 3.37
264, 3.47
265, 3.54
266, 3.38
267, 3.54
268, 3.87
269, 3.3
