balls,averageMaxLoad
0, 0
1, 0.96
2, 0.95
3, 0.95
4, 1.08
5, 1.19
6, 1.35
7, 1.38
8, 1.41
9, 1.37
10, 1.36
11, 1.26
12, 1.17
13, 1.19
14, 1.18
15, 1.05
16, 0.94
17, 0.99
18, 1
19, 1.07
20, 0.91
21, 1.03
22, 1
23, 0.99
24, 0.98
25, 1.13
26, 1.1
27, 1.02
28, 1.16
29, 1.21
30, 1.35
31, 1.37
32, 1.43
33, 1.37
34, 1.5
35, 1.42
36, 1.37
37, 1.17
38, 1.23
39, 1.18
40, 1.18
41, 1.13
42, 1.18
43, 1.03
44, 1.21
45, 1.1
46, 1.04
47, 0.86
48, 1
49, 1.13
50, 1.13
51, 1.19
52, 1.19
53, 1.21
54, 1.26
55, 1.23
56, 1.44
57, 1.35
58, 1.43
59, 1.41
60, 1.43
61, 1.2
62, 1.24
63, 1.42
64, 1.35
65, 1.17
66, 1.19
67, 1.12
68, 1.1
69, 1.16
70, 0.98
71, 1.07
72, 1.14
73, 1.23
74, 1.13
75, 1.24
76, 1.23
77, 1.16
78, 1.22
79, 1.29
80, 1.31
81, 1.37
82, 1.45
83, 1.52
84, 1.47
85, 1.29
86, 1.32
87, 1.31
88, 1.17
89, 1.16
90, 1.17
91, 1.34
92, 1.13
93, 1.09
94, 1.01
95, 0.97
96, 1.04
97, 0.99
98, 0.95
99, 1.04
100, 1.14
101, 1.2
102, 1.21
103, 1.14
104, 1.18
105, 1.35
106, 1.42
107, 1.42
108, 1.53
109, 1.57
110, 1.28
111, 1.4
112, 1.23
113, 1.33
114, 1.15
115, 1.25
116, 1.16
117, 1.09
118, 1.03
119, 1.13
120, 1.08
121, 0.98
122, 1.05
123, 1.08
124, 1.19
125, 1.16
126, 1.18
127, 1.16
128, 1.21
129, 1.25
130, 1.31
131, 1.48
132, 1.47
133, 1.44
134, 1.47
135, 1.45
136, 1.37
137, 1.3
138, 1.21
139, 1.25
140, 1.2
141, 1.26
142, 1.08
143, 1.11
144, 1.1
145, 1.02
146, 1.02
147, 1.06
148, 0.98
149, 1.11
150, 1.19
151, 1.27
152, 1.15
153, 1.22
154, 1.26
155, 1.39
156, 1.44
157, 1.57
158, 1.4
159, 1.45
160, 1.44
161, 1.33
162, 1.25
163, 1.2
164, 1.29
165, 1.15
166, 1.17
167, 1.16
168, 0.89
169, 1.23
170, 1.15
171, 0.98
172, 1.01
173, 1.11
174, 1.09
175, 1.1
176, 1.1
177, 1.13
178, 1.24
179, 1.29
180, 1.48
181, 1.41
182, 1.5
183, 1.48
184, 1.42
185, 1.29
186, 1.39
187, 1.4
188, 1.15
189, 1.29
190, 1.27
191, 1.21
192, 1.12
193, 1.07
194, 1.09
195, 0.95
196, 1
197, 1.09
198, 1.2
199, 1.18
200, 1.18
201, 1.22
202, 1.15
203, 1.18
204, 1.26
205, 1.39
206, 1.53
207, 1.43
208, 1.49
209, 1.39
210, 1.34
211, 1.26
212, 1.36
213, 1.22
214, 1.32
215, 1.15
216, 1.19
217, 1.27
218, 1.13
219, 0.98
220, 1.12
221, 0.92
222, 1.01
223, 1
224, 1.03
225, 1.1
226, 1.13
227, 1.29
228, 1.17
229, 1.31
230, 1.23
231, 1.41
232, 1.59
233, 1.47
234, 1.48
235, 1.54
236, 1.51
237, 1.32
238, 1.4
239, 1.3
240, 1.22
241, 1.13
242, 1.13
243, 1.17
244, 1.07
245, 1.13
246, 1.09
247, 1.07
248, 1.16
249, 1.06
250, 1.15
251, 1.17
252, 1.11
253, 1.3
254, 1.16
255, 1.35
256, 1.37
257, 1.55
258, 1.46
259, 1.39
260, 1.5
261, 1.49
262, 1.36
263, 1.16
264, 1.34
265, 1.25
266, 1.23
267, 0.99
268, 0.95
269, 1.1
270, 0.98
