balls,averageMaxLoad
0, 0
1, 0.96
2, 0.92
3, 0.88
4, 0.84
5, 0.84
6, 0.83
7, 0.82
8, 0.93
9, 0.87
10, 0.99
11, 0.96
12, 1.07
13, 1.09
14, 1.19
15, 1.26
16, 1.22
17, 1.23
18, 1.24
19, 1.25
20, 1.22
21, 1.2
22, 1.19
23, 1.13
24, 1.13
25, 1.13
26, 1.07
27, 1.12
28, 1.19
29, 1.16
30, 1.17
31, 1.24
32, 1.34
33, 1.32
34, 1.31
35, 1.36
36, 1.37
37, 1.35
38, 1.42
39, 1.45
40, 1.4
41, 1.32
42, 1.33
43, 1.36
44, 1.31
45, 1.34
46, 1.22
47, 1.33
48, 1.21
49, 1.24
50, 1.27
51, 1.28
52, 1.25
53, 1.33
54, 1.32
55, 1.24
56, 1.4
57, 1.33
58, 1.4
59, 1.49
60, 1.43
61, 1.49
62, 1.5
63, 1.47
64, 1.48
65, 1.4
66, 1.43
67, 1.39
68, 1.3
69, 1.32
70, 1.31
71, 1.31
72, 1.41
73, 1.3
74, 1.3
75, 1.3
76, 1.24
77, 1.34
78, 1.4
79, 1.31
80, 1.39
81, 1.33
82, 1.4
83, 1.46
84, 1.49
85, 1.38
86, 1.42
87, 1.48
88, 1.4
89, 1.46
90, 1.45
91, 1.41
92, 1.42
93, 1.36
94, 1.35
95, 1.36
96, 1.32
97, 1.29
98, 1.31
99, 1.28
100, 1.3
101, 1.34
102, 1.39
103, 1.38
104, 1.35
105, 1.4
106, 1.41
107, 1.38
108, 1.52
109, 1.42
110, 1.49
111, 1.45
112, 1.5
113, 1.45
114, 1.42
115, 1.41
116, 1.42
117, 1.4
118, 1.46
119, 1.42
120, 1.31
121, 1.33
122, 1.35
123, 1.39
124, 1.33
125, 1.27
126, 1.38
127, 1.31
128, 1.37
129, 1.38
130, 1.34
131, 1.51
132, 1.42
133, 1.46
134, 1.46
135, 1.51
136, 1.47
137, 1.49
138, 1.44
139, 1.46
140, 1.42
141, 1.45
142, 1.35
143, 1.41
144, 1.35
145, 1.39
146, 1.3
147, 1.36
148, 1.35
149, 1.37
150, 1.34
151, 1.28
152, 1.44
153, 1.35
154, 1.42
155, 1.4
156, 1.49
157, 1.51
158, 1.45
159, 1.49
160, 1.49
161, 1.47
162, 1.48
163, 1.43
164, 1.48
165, 1.42
166, 1.4
167, 1.39
168, 1.42
169, 1.34
170, 1.35
171, 1.32
172, 1.38
173, 1.32
174, 1.27
175, 1.3
176, 1.33
177, 1.42
178, 1.35
179, 1.38
180, 1.38
181, 1.44
182, 1.49
183, 1.49
184, 1.5
185, 1.5
186, 1.46
187, 1.43
188, 1.45
189, 1.48
190, 1.45
191, 1.47
192, 1.38
193, 1.37
194, 1.38
195, 1.37
196, 1.29
197, 1.33
198, 1.36
199, 1.3
200, 1.44
201, 1.33
202, 1.49
203, 1.4
204, 1.38
205, 1.41
206, 1.34
207, 1.42
208, 1.31
209, 1.51
210, 1.43
211, 1.48
212, 1.45
213, 1.47
214, 1.52
215, 1.46
216, 1.43
217, 1.38
218, 1.41
219, 1.33
220, 1.39
221, 1.32
222, 1.34
223, 1.33
224, 1.36
225, 1.39
226, 1.43
227, 1.42
228, 1.44
229, 1.4
230, 1.53
231, 1.51
232, 1.49
233, 1.42
234, 1.49
235, 1.43
236, 1.5
237, 1.49
238, 1.47
239, 1.46
240, 1.42
241, 1.46
242, 1.41
243, 1.36
244, 1.33
245, 1.43
246, 1.43
247, 1.34
248, 1.32
249, 1.34
250, 1.34
251, 1.35
252, 1.36
253, 1.45
254, 1.4
255, 1.4
256, 1.47
257, 1.46
258, 1.49
259, 1.44
260, 1.49
261, 1.51
262, 1.5
263, 1.44
264, 1.45
265, 1.41
266, 1.47
267, 1.37
268, 1.41
