balls,averageMaxLoad
0, 0
1, 0.96
2, 0.92
3, 0.88
4, 0.84
5, 0.8
6, 0.76
7, 0.72
8, 0.68
9, 0.64
10, 0.6
11, 0.56
12, 0.52
13, 0.48
14, 0.44
15, 0.4
16, 0.37
17, 0.32
18, 0.28
19, 0.26
20, 0.24
21, 0.25
22, 0.36
23, 0.41
24, 0.68
25, 0.78
26, 0.96
27, 0.92
28, 0.88
29, 0.84
30, 0.8
31, 0.76
32, 0.72
33, 0.68
34, 0.64
35, 0.6
36, 0.56
37, 0.52
38, 0.48
39, 0.44
40, 0.4
41, 0.36
42, 0.32
43, 0.28
44, 0.25
45, 0.26
46, 0.21
47, 0.35
48, 0.48
49, 0.66
50, 0.82
51, 0.96
52, 0.92
53, 0.88
54, 0.84
55, 0.8
56, 0.76
57, 0.72
58, 0.68
59, 0.64
60, 0.6
61, 0.56
62, 0.52
63, 0.48
64, 0.44
65, 0.4
66, 0.36
67, 0.32
68, 0.28
69, 0.25
70, 0.28
71, 0.28
72, 0.33
73, 0.52
74, 0.57
75, 0.84
76, 0.96
77, 0.92
78, 0.88
79, 0.84
80, 0.8
81, 0.76
82, 0.72
83, 0.68
84, 0.64
85, 0.6
86, 0.56
87, 0.52
88, 0.48
89, 0.44
90, 0.4
91, 0.36
92, 0.32
93, 0.3
94, 0.26
95, 0.27
96, 0.23
97, 0.26
98, 0.48
99, 0.74
100, 0.87
101, 0.96
102, 0.92
103, 0.88
104, 0.84
105, 0.8
106, 0.76
107, 0.72
108, 0.68
109, 0.64
110, 0.6
111, 0.56
112, 0.52
113, 0.48
114, 0.45
115, 0.4
116, 0.36
117, 0.32
118, 0.28
119, 0.26
120, 0.22
121, 0.26
122, 0.36
123, 0.48
124, 0.53
125, 0.92
126, 0.96
127, 0.92
128, 0.88
129, 0.84
130, 0.8
131, 0.76
132, 0.72
133, 0.68
134, 0.64
135, 0.6
136, 0.56
137, 0.52
138, 0.48
139, 0.44
140, 0.4
141, 0.36
142, 0.35
143, 0.28
144, 0.27
145, 0.24
146, 0.34
147, 0.31
148, 0.41
149, 0.68
150, 0.81
151, 0.96
152, 0.92
153, 0.88
154, 0.84
155, 0.8
156, 0.76
157, 0.72
158, 0.68
159, 0.64
160, 0.6
161, 0.56
162, 0.52
163, 0.48
164, 0.44
165, 0.4
166, 0.36
167, 0.32
168, 0.29
169, 0.24
170, 0.27
171, 0.26
172, 0.4
173, 0.45
174, 0.64
175, 0.8
176, 0.96
177, 0.92
178, 0.88
179, 0.84
180, 0.8
181, 0.76
182, 0.72
183, 0.68
184, 0.64
185, 0.6
186, 0.56
187, 0.52
188, 0.48
189, 0.44
190, 0.4
191, 0.36
192, 0.32
193, 0.31
194, 0.24
195, 0.24
196, 0.27
197, 0.38
198, 0.46
199, 0.67
200, 0.78
201, 0.96
202, 0.92
203, 0.88
204, 0.84
205, 0.8
206, 0.76
207, 0.72
208, 0.68
209, 0.64
210, 0.6
211, 0.56
212, 0.52
213, 0.48
214, 0.44
215, 0.4
216, 0.36
217, 0.32
218, 0.29
219, 0.24
220, 0.24
221, 0.3
222, 0.29
223, 0.5
224, 0.63
225, 0.84
226, 0.96
227, 0.92
228, 0.88
229, 0.84
230, 0.8
231, 0.76
232, 0.72
233, 0.68
234, 0.64
235, 0.6
236, 0.56
237, 0.52
238, 0.48
239, 0.44
240, 0.4
241, 0.36
242, 0.32
243, 0.29
244, 0.26
245, 0.28
246, 0.23
247, 0.35
248, 0.44
249, 0.7
250, 0.87
251, 0.96
252, 0.92
253, 0.88
254, 0.84
255, 0.8
256, 0.76
257, 0.72
258, 0.68
259, 0.64
260, 0.6
261, 0.56
262, 0.52
263, 0.48
264, 0.44
265, 0.4
266, 0.37
267, 0.33
268, 0.29
