balls,averageMaxLoad
0, 0
1, 0.96
2, 0.94
3, 1.02
4, 1.19
5, 1.19
6, 1.17
7, 1.35
8, 1.48
9, 1.57
10, 1.73
11, 1.62
12, 1.79
13, 1.73
14, 1.84
15, 1.89
16, 1.99
17, 2.01
18, 2.11
19, 2.12
20, 1.95
21, 2.03
22, 2.28
23, 2.31
24, 2.38
25, 2.31
26, 2.32
27, 2.31
28, 2.44
29, 2.64
30, 2.53
31, 2.51
32, 2.7
33, 2.59
34, 2.64
35, 2.87
36, 2.71
37, 2.74
38, 2.91
39, 2.79
40, 3.01
41, 3
42, 2.78
43, 2.97
44, 3.14
45, 3.16
46, 3.03
47, 3.12
48, 3.29
49, 3.32
50, 3.25
51, 3.26
52, 3.39
53, 3.24
54, 3.31
55, 3.48
56, 3.38
57, 3.44
58, 3.44
59, 3.46
60, 3.46
61, 3.63
62, 3.59
63, 3.29
64, 3.65
65, 3.59
66, 3.44
67, 3.74
68, 3.59
69, 3.78
70, 3.7
71, 3.91
72, 3.55
73, 3.73
74, 3.92
75, 3.76
76, 3.77
77, 3.84
78, 3.72
79, 3.72
80, 3.9
81, 3.98
82, 4.04
83, 4
84, 3.97
85, 4.2
86, 3.93
87, 4.31
88, 4.23
89, 3.94
90, 4.43
91, 4.28
92, 4.23
93, 4.38
94, 4.26
95, 4.36
96, 4.4
97, 4.26
98, 4.38
99, 4.26
100, 4.47
101, 4.53
102, 4.45
103, 4.49
104, 4.52
105, 4.42
106, 4.53
107, 4.33
108, 4.44
109, 4.49
110, 4.43
111, 4.49
112, 4.62
113, 4.54
114, 4.67
115, 4.93
116, 4.76
117, 4.85
118, 4.7
119, 4.98
120, 4.8
121, 4.88
122, 4.78
123, 4.96
124, 4.73
125, 5.05
126, 5.04
127, 4.83
128, 4.94
129, 5.04
130, 4.78
131, 4.76
132, 4.77
133, 4.93
134, 5.07
135, 4.84
136, 4.97
137, 4.93
138, 5.16
139, 5
140, 5.15
141, 4.93
142, 4.99
143, 5.05
144, 5.28
145, 5.11
146, 5.16
147, 5.38
148, 5.31
149, 5.16
150, 5.25
151, 5.37
152, 5.25
153, 5.23
154, 5.17
155, 5.32
156, 5.57
157, 5.35
158, 5.15
159, 5.47
160, 5.49
161, 5.55
162, 5.43
163, 5.6
164, 5.27
165, 5.56
166, 5.5
167, 5.43
168, 5.59
169, 5.51
170, 5.57
171, 5.71
172, 5.66
173, 5.62
174, 5.61
175, 5.69
176, 5.74
177, 5.82
178, 5.59
179, 5.51
180, 5.66
181, 5.89
182, 5.93
183, 5.91
184, 5.59
185, 5.9
186, 5.93
187, 5.67
188, 5.84
189, 5.72
190, 6.14
191, 6.23
192, 5.7
193, 5.81
194, 6.12
195, 5.99
196, 5.81
197, 6.14
198, 6.24
199, 5.82
200, 5.88
201, 5.9
202, 5.88
203, 5.94
204, 6.17
205, 6.13
206, 6.24
207, 5.73
208, 5.8
209, 6.09
210, 6.28
211, 6.02
212, 6.32
213, 6.09
214, 6.06
215, 6.42
216, 6.62
217, 6.26
218, 6.15
219, 6.24
220, 6.24
221, 6.26
222, 6.27
223, 6.56
224, 6.59
225, 6.58
226, 6.16
227, 6.35
228, 6.81
229, 6.34
230, 6.4
231, 6.63
232, 6.39
233, 6.4
234, 6.56
235, 6.38
236, 6.69
237, 6.41
238, 6.73
239, 6.61
240, 6.48
241, 6.69
242, 6.39
243, 7.05
244, 6.75
245, 6.66
246, 6.76
247, 6.86
248, 6.61
249, 6.92
250, 6.8
251, 6.91
252, 6.86
253, 6.53
254, 6.57
255, 6.55
256, 6.9
257, 6.79
258, 6.5
259, 6.64
260, 7.01
261, 6.99
262, 7.13
263, 6.78
264, 6.92
265, 7.15
266, 6.81
267, 6.8
268, 6.72
269, 7.02
