balls,averageMaxLoad
0, 0
1, 0.96
2, 0.97
3, 0.99
4, 1.07
5, 1.1
6, 1.29
7, 1.49
8, 1.47
9, 1.62
10, 1.65
11, 1.69
12, 1.69
13, 1.78
14, 1.82
15, 1.89
16, 1.96
17, 1.96
18, 2.03
19, 2.09
20, 2.12
21, 2.19
22, 2.27
23, 2.21
24, 2.31
25, 2.27
26, 2.45
27, 2.34
28, 2.54
29, 2.57
30, 2.58
31, 2.64
32, 2.6
33, 2.52
34, 2.68
35, 2.71
36, 2.92
37, 2.73
38, 2.85
39, 2.88
40, 3.01
41, 3.04
42, 2.93
43, 2.87
44, 3.04
45, 3.11
46, 3.13
47, 3.13
48, 3.02
49, 3.28
50, 3.26
51, 3.29
52, 3.08
53, 3.32
54, 3.41
55, 3.36
56, 3.49
57, 3.4
58, 3.37
59, 3.56
60, 3.42
61, 3.59
62, 3.65
63, 3.53
64, 3.8
65, 3.55
66, 3.55
67, 3.68
68, 3.53
69, 3.45
70, 3.92
71, 3.94
72, 4
73, 3.61
74, 3.89
75, 3.96
76, 3.74
77, 3.9
78, 4.08
79, 3.91
80, 4.1
81, 4.01
82, 3.97
83, 4.13
84, 3.85
85, 3.98
86, 4.01
87, 4.29
88, 4.37
89, 4.17
90, 4.1
91, 4.14
92, 4.44
93, 4.35
94, 4.31
95, 4.24
96, 4.27
97, 4.48
98, 4.45
99, 4.33
100, 4.62
101, 4.25
102, 4.25
103, 4.11
104, 4.15
105, 3.9
106, 4.24
107, 3.85
108, 4.05
109, 4.04
110, 4.13
111, 4.26
112, 4.13
113, 3.8
114, 3.65
115, 3.81
116, 3.85
117, 3.68
118, 3.81
119, 3.66
120, 3.64
121, 3.58
122, 3.78
123, 3.49
124, 3.72
125, 3.36
126, 3.6
127, 3.34
128, 3.47
129, 3.61
130, 3.41
131, 3.79
132, 3.79
133, 3.45
134, 3.58
135, 3.79
136, 3.65
137, 3.87
138, 4.03
139, 4.01
140, 4.12
141, 4.21
142, 4.18
143, 4.19
144, 4.25
145, 4.86
146, 4.73
147, 4.18
148, 4.75
149, 4.71
150, 5.03
151, 4.68
152, 5.1
153, 5.13
154, 5.16
155, 5.35
156, 5.42
157, 5.91
158, 5.47
159, 5.71
160, 6.07
161, 6.13
162, 6.12
163, 6.12
164, 6.57
165, 6.69
166, 6.95
167, 6.91
168, 6.71
169, 6.73
170, 7.39
171, 6.98
172, 7.5
173, 7.26
174, 7.03
175, 7.59
176, 8.07
177, 7.8
178, 7.96
179, 8.28
180, 8
181, 8.14
182, 8.36
183, 8.51
184, 8.7
185, 8.88
186, 9.07
187, 8.93
188, 9.37
189, 9.08
190, 9.51
191, 9.33
192, 9.6
193, 9.65
194, 10
195, 10.09
196, 10.17
197, 10.14
198, 10.58
199, 10.61
200, 10.37
201, 10.15
202, 10.46
203, 10.51
204, 10.09
205, 10.26
206, 9.94
207, 10.32
208, 10.25
209, 10.41
210, 9.93
211, 10.11
212, 10.15
213, 9.83
214, 10.11
215, 10.15
216, 9.13
217, 9.5
218, 9.96
219, 9.5
220, 9.92
221, 9.46
222, 9.41
223, 9.57
224, 9.73
225, 9.75
226, 9.6
227, 9.75
228, 9.16
229, 9.34
230, 9.45
231, 9.18
232, 8.92
233, 9.41
234, 9.58
235, 8.7
236, 9.41
237, 9.22
238, 8.86
239, 8.82
240, 8.7
241, 8.46
242, 8.74
243, 8.32
244, 8.45
245, 8.54
246, 8.65
247, 8.71
248, 8.82
249, 9.13
250, 8.48
251, 8.53
252, 8.35
253, 8.76
254, 8.72
255, 8.47
256, 8.12
257, 7.59
258, 8.22
259, 8.31
260, 8.38
261, 8.91
262, 8.09
263, 8.35
264, 8.77
265, 7.86
266, 8.53
267, 8.26
268, 7.87
269, 8.51
