balls,averageMaxLoad
0, 0
1, 0.96
2, 0.99
3, 0.95
4, 1.12
5, 1.17
6, 1.21
7, 1.41
8, 1.46
9, 1.51
10, 1.55
11, 1.7
12, 1.77
13, 1.86
14, 1.86
15, 1.92
16, 1.96
17, 1.92
18, 2.11
19, 2.05
20, 2
21, 2.04
22, 2.14
23, 2.04
24, 2.15
25, 2.22
26, 2.13
27, 2.23
28, 2.29
29, 2.45
30, 2.31
31, 2.23
32, 2.24
33, 2.33
34, 2.38
35, 2.31
36, 2.38
37, 2.52
38, 2.61
39, 2.38
40, 2.7
41, 2.63
42, 2.61
43, 2.67
44, 2.58
45, 2.78
46, 2.62
47, 2.8
48, 2.71
49, 2.83
50, 2.74
51, 2.76
52, 2.75
53, 2.81
54, 2.64
55, 2.82
56, 2.67
57, 2.75
58, 2.66
59, 2.89
60, 2.78
61, 3.02
62, 2.82
63, 2.88
64, 2.98
65, 3
66, 3.01
67, 2.95
68, 3.07
69, 3.11
70, 2.95
71, 3.08
72, 2.91
73, 3.08
74, 3.03
75, 3.21
76, 3.2
77, 3.15
78, 3.17
79, 3.03
80, 3.33
81, 3.18
82, 3.19
83, 3.27
84, 3.14
85, 3.06
86, 3.26
87, 3.31
88, 3.23
89, 3.26
90, 3.25
91, 3.12
92, 3.33
93, 3.27
94, 3.34
95, 3.23
96, 3.26
97, 3.18
98, 3.38
99, 3.26
100, 3.42
101, 3.42
102, 3.55
103, 3.56
104, 3.42
105, 3.62
106, 3.34
107, 3.49
108, 3.51
109, 3.5
110, 3.51
111, 3.4
112, 3.57
113, 3.56
114, 3.52
115, 3.55
116, 3.62
117, 3.35
118, 3.58
119, 3.65
120, 3.57
121, 3.58
122, 3.5
123, 3.37
124, 3.39
125, 3.29
126, 3.67
127, 3.72
128, 3.8
129, 3.68
130, 3.63
131, 3.56
132, 3.33
133, 3.73
134, 3.82
135, 3.61
136, 3.55
137, 3.64
138, 3.85
139, 3.58
140, 3.61
141, 3.55
142, 3.76
143, 3.67
144, 3.46
145, 3.71
146, 3.71
147, 3.83
148, 3.96
149, 3.7
150, 3.58
151, 3.7
152, 3.63
153, 3.82
154, 3.94
155, 3.82
156, 3.76
157, 3.72
158, 3.77
159, 3.67
160, 3.52
161, 3.71
162, 3.89
163, 3.87
164, 3.7
165, 3.71
166, 3.91
167, 3.8
168, 3.93
169, 3.88
170, 3.96
171, 3.85
172, 4.07
173, 3.88
174, 3.7
175, 3.78
176, 3.83
177, 3.77
178, 3.93
179, 4
180, 4.06
181, 3.98
182, 3.61
183, 4
184, 3.94
185, 3.86
186, 3.79
187, 4.02
188, 3.87
189, 4.25
190, 3.81
191, 3.85
192, 3.91
193, 3.95
194, 4.03
195, 3.96
196, 4.15
197, 4
198, 3.93
199, 3.94
200, 4.16
201, 3.87
202, 3.94
203, 4.05
204, 3.94
205, 4.02
206, 4.28
207, 4.1
208, 4.18
209, 4.03
210, 4.05
211, 3.93
212, 4.11
213, 4.31
214, 3.9
215, 3.96
216, 3.94
217, 4.06
218, 3.93
219, 4.06
220, 4.16
221, 4.11
222, 4.07
223, 4.1
224, 4.25
225, 4.07
226, 3.97
227, 4.01
228, 4.13
229, 4.4
230, 4.08
231, 3.86
232, 3.96
233, 4.27
234, 4.32
235, 3.99
236, 4.28
237, 4.17
238, 4.07
239, 4.17
240, 4.27
241, 4.21
242, 4.03
243, 4.21
244, 3.87
245, 4.2
246, 4.2
247, 4.26
248, 4.15
249, 4.21
250, 4.3
251, 4.18
252, 4.26
253, 4.11
254, 4.27
255, 4.17
256, 4.2
257, 4.23
258, 3.95
259, 4.38
260, 4.28
261, 4.46
262, 4.16
263, 4.33
264, 4.14
265, 4.47
266, 4.43
267, 4.41
268, 4.33
269, 4.29
270, 4.38
