balls,averageMaxLoad
0, 0
1, 0.96
2, 0.96
3, 1.07
4, 1.03
5, 1.1
6, 1.24
7, 1.43
8, 1.27
9, 1.26
10, 1.15
11, 1.16
12, 1.2
13, 1.12
14, 1.2
15, 1.06
16, 1.11
17, 1.02
18, 1.18
19, 1.15
20, 1.09
21, 1.14
22, 1.21
23, 1.16
24, 1.26
25, 1.25
26, 1.22
27, 1.38
28, 1.35
29, 1.31
30, 1.46
31, 1.45
32, 1.44
33, 1.54
34, 1.46
35, 1.42
36, 1.35
37, 1.39
38, 1.35
39, 1.31
40, 1.26
41, 1.38
42, 1.33
43, 1.32
44, 1.29
45, 1.19
46, 1.25
47, 1.28
48, 1.28
49, 1.35
50, 1.24
51, 1.3
52, 1.29
53, 1.34
54, 1.33
55, 1.46
56, 1.52
57, 1.52
58, 1.54
59, 1.44
60, 1.5
61, 1.38
62, 1.36
63, 1.43
64, 1.35
65, 1.32
66, 1.13
67, 1.32
68, 1.25
69, 1.22
70, 1.21
71, 1.22
72, 1.36
73, 1.32
74, 1.24
75, 1.32
76, 1.37
77, 1.42
78, 1.49
79, 1.41
80, 1.47
81, 1.5
82, 1.64
83, 1.52
84, 1.52
85, 1.52
86, 1.59
87, 1.45
88, 1.47
89, 1.37
90, 1.3
91, 1.23
92, 1.27
93, 1.23
94, 1.25
95, 1.27
96, 1.23
97, 1.29
98, 1.23
99, 1.32
100, 1.3
101, 1.28
102, 1.24
103, 1.35
104, 1.38
105, 1.49
106, 1.56
107, 1.61
108, 1.57
109, 1.36
110, 1.46
111, 1.45
112, 1.38
113, 1.4
114, 1.43
115, 1.37
116, 1.39
117, 1.26
118, 1.27
119, 1.33
120, 1.34
121, 1.31
122, 1.24
123, 1.43
124, 1.33
125, 1.47
126, 1.31
127, 1.37
128, 1.39
129, 1.34
130, 1.54
131, 1.56
132, 1.54
133, 1.55
134, 1.52
135, 1.42
136, 1.42
137, 1.41
138, 1.15
139, 1.48
140, 1.27
141, 1.36
142, 1.33
143, 1.29
144, 1.26
145, 1.27
146, 1.31
147, 1.3
148, 1.39
149, 1.4
150, 1.22
151, 1.39
152, 1.42
153, 1.64
154, 1.44
155, 1.53
156, 1.74
157, 1.66
158, 1.61
159, 1.53
160, 1.49
161, 1.41
162, 1.44
163, 1.43
164, 1.39
165, 1.35
166, 1.3
167, 1.29
168, 1.36
169, 1.41
170, 1.26
171, 1.31
172, 1.27
173, 1.36
174, 1.2
175, 1.33
176, 1.39
177, 1.39
178, 1.43
179, 1.38
180, 1.41
181, 1.61
182, 1.56
183, 1.43
184, 1.47
185, 1.45
186, 1.46
187, 1.54
188, 1.54
189, 1.46
190, 1.23
191, 1.33
192, 1.39
193, 1.17
194, 1.27
195, 1.31
196, 1.22
197, 1.24
198, 1.33
199, 1.39
200, 1.31
201, 1.24
202, 1.32
203, 1.33
204, 1.45
205, 1.49
206, 1.57
207, 1.46
208, 1.48
209, 1.48
210, 1.44
211, 1.56
212, 1.52
213, 1.54
214, 1.27
215, 1.27
216, 1.33
217, 1.33
218, 1.32
219, 1.34
220, 1.33
221, 1.3
222, 1.31
223, 1.27
224, 1.34
225, 1.36
226, 1.31
227, 1.37
228, 1.39
229, 1.54
230, 1.47
231, 1.48
232, 1.64
233, 1.56
234, 1.59
235, 1.53
236, 1.42
237, 1.36
238, 1.34
239, 1.3
240, 1.43
241, 1.26
242, 1.29
243, 1.33
244, 1.2
245, 1.27
246, 1.36
247, 1.26
248, 1.28
249, 1.33
250, 1.26
251, 1.3
252, 1.29
253, 1.5
254, 1.53
255, 1.42
256, 1.48
257, 1.56
258, 1.46
259, 1.43
260, 1.44
261, 1.38
262, 1.41
263, 1.22
264, 1.28
265, 1.3
266, 1.38
267, 1.31
268, 1.19
